Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
1.,Alba,51.917,90,"6,23"
2.,Arad,66.061,100,"6,43"
3.,Argeș,72.538,78,"4,68"
4.,Bacău,59.377,44,"2,02"
5.,Bihor,78.913,62,"3,82"
6.,Bistrița-Năsăud,28.992,35,"2,45"
7.,Botoșani,34.875,38,"1,96"
8.,Brașov,103.694,135,"6,30"
9.,Brăila,30.392,33,"3,92"
10.,Buzău,39.098,74,"4,74"
11.,Caraș-Severin,28.838,67,"5,16"
12.,Călărași,24.845,30,"3,31"
13.,Cluj,149.984,446,"10,83"
14.,Constanța,111.244,174,"6,61"
15.,Covasna,18.888,28,"2,79"
16.,Dâmbovița,50.363,55,"3,17"
17.,Dolj,69.078,163,"5,58"
18.,Galați,61.195,167,"3,62"
19.,Giurgiu,27.465,56,"4,68"
20.,Gorj,21.292,23,"2,20"
21.,Harghita,21.047,17,"1,24"
22.,Hunedoara,55.032,34,"5,77"
23.,Ialomița,26.433,19,"4,02"
24.,Iași,106.138,146,"4,08"
25.,Ilfov,114.061,134,"11,44"
26.,Maramureș,48.841,49,"1,96"
27.,Mehedinți,21.059,43,"3,45"
28.,Mureș,60.657,99,"5,10"
29.,Neamț,44.636,34,"1,42"
30.,Olt,37.369,75,"4,70"
31.,Prahova,94.595,207,"6,37"
32.,Satu Mare,31.612,41,"1,67"
33.,Sălaj,25.832,21,"2,90"
34.,Sibiu,74.128,151,"9,01"
35.,Suceava,56.864,40,"1,12"
36.,Teleorman,32.765,79,"4,53"
37.,Timiș,142.960,223,"8,49"
38.,Tulcea,20.119,9,"1,79"
39.,Vaslui,35.402,51,"2,19"
40.,Vâlcea,39.658,48,"4,47"
41.,Vrancea,25.464,44,"2,30"
42.,Mun. București,515.142,1614,"16,77"
43.,Din străinătate**,4.128,17, 
44.,Cazuri noi nealocate pe județe,    2.178*,-256, 
 TOTAL,2.765.169,4.837, 
